beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Stella Artois,Stella Artois,Pilsner - Other,5,24,Nice for a common brand beer,Thatcher McGhee's,Pompton Lakes,NJ,United States,41.0076,-74.2951,3.5,4/22/2019 20:53,https://untappd.com/c/740305876,https://untappd.com/beer/4010,https://untappd.com/brewery/265,Belgium,Leuven,Vlaanderen,,,Draft,740305876,4010,265,https://untappd.s3.amazonaws.com/photos/2019_04_23/77a4f7ee9004c729c9cab756de4ebad8_raw.jpg,3.26,3.26,,2,0
Belgian White,Blue Moon Brewing Company,Wheat Beer - Witbier,5.4,9,it would’ve been a 3 but I got it for free so it’s better. not a great beer but a good beer,,,,,,,3.25,4/27/2019 18:19,https://untappd.com/c/742279308,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,United States,Denver,CO,,,Bottle,742279308,3839,127804,https://untappd.s3.amazonaws.com/photos/2019_04_27/06d84553b8c4b8a8192d67650261f09c_raw.jpg,3.5,3.5,,0,0
Arnold Palmer Spiked Half & Half,AriZona Beverages,Malt Liquor ,5,0,brings me back to my childhood. good summer drink. too bad not 99¢,,,,,,,3.75,4/27/2019 21:31,https://untappd.com/c/742450447,https://untappd.com/beer/2477660,https://untappd.com/brewery/96255,United States,Woodbury,NY,,,Can,742450447,2477660,96255,https://untappd.s3.amazonaws.com/photos/2019_04_28/ab51f70465d83457264db7c5dd4f2ce5_raw.jpg,3.39,3.39,,1,0
Shiner Wicked Juicy IPA,Spoetzl Brewery,IPA - American,5.7,60,Not much of an IPA person but I can enjoy this one a little bit,,,,,,,3.25,4/29/2019 21:17,https://untappd.com/c/743173845,https://untappd.com/beer/2782775,https://untappd.com/brewery/1179,United States,Shiner,TX,,,,743173845,2782775,1179,https://untappd.s3.amazonaws.com/photos/2019_04_30/fb145267346e947dee5920e49cefd19c_raw.jpg,3.35,3.36,,1,0
Shiner Fröst,Spoetzl Brewery,Lager - Dortmunder / Export,5.5,0,Father had these in the fridge since Christmas and he said I should have one so I did,,,,,,,3.25,5/6/2019 20:40,https://untappd.com/c/746255570,https://untappd.com/beer/19574,https://untappd.com/brewery/1179,United States,Shiner,TX,,,,746255570,19574,1179,https://untappd.s3.amazonaws.com/photos/2019_05_07/f542c74b18313eda90b25ef2e994823b_raw.jpg,3.44,3.45,,0,0
Pale Ale,Omission Brewing,Gluten-Free,5.8,33,Feel healthy while having this Bc it’s gluten free,,,,,,,4,5/10/2019 21:41,https://untappd.com/c/747750801,https://untappd.com/beer/131265,https://untappd.com/brewery/25595,United States,Portland,OR,,,,747750801,131265,25595,https://untappd.s3.amazonaws.com/photos/2019_05_11/6ce55dc11c3a38667f2d84da568a249a_raw.jpg,3.25,3.26,,1,0
Let's See Here,Bradley Brew Project,Wheat Beer - Witbier,5,0,im dumb and didn’t realize that this is similar to a blue moon but nevertheless this is better than a blue moon so hence it rates bette,Kitchen and Beer Bar,Wanaque,NJ,United States,41.0283,-74.2972,3.75,5/12/2019 18:24,https://untappd.com/c/749028599,https://untappd.com/beer/2972659,https://untappd.com/brewery/356747,United States,Bradley Beach,NJ,,,,749028599,2972659,356747,https://untappd.s3.amazonaws.com/photos/2019_05_12/bd53757e541813e85489009ea21a16c8_raw.jpg,3.59,3.64,,3,0
Black Cherry,White Claw Seltzer Works,Hard Seltzer,5,0,Not beer but it’s okay Bc it’s white claw szn,,,,,,,3.75,5/24/2019 22:19,https://untappd.com/c/753870880,https://untappd.com/beer/2792321,https://untappd.com/brewery/402800,United States,Chicago,IL,,,Can,753870880,2792321,402800,https://untappd.s3.amazonaws.com/photos/2019_05_25/d8021369691fe438d7ea1789e1380560_raw.jpg,3.24,3.25,,2,1
Mango Wheat,Blue Moon Brewing Company,Wheat Beer - Witbier,5.4,19,Feel like I’m at an American pub on a tropical island,,,,,,,4,5/26/2019 18:58,https://untappd.com/c/755203568,https://untappd.com/beer/1695486,https://untappd.com/brewery/127804,United States,Denver,CO,,,Bottle,755203568,1695486,127804,https://untappd.s3.amazonaws.com/photos/2019_05_26/4f1174d946c2fae5db75e14cf389c29f_raw.jpg,3.54,3.54,,1,0
Asahi Super Dry,Asahi Breweries,Lager - Japanese Rice,5,20,there were a lot of Japanese letters on it and my dad had and tried to pronounce it so this whole experience was very enjoyable,,,,,,,3.75,5/27/2019 14:56,https://untappd.com/c/755507863,https://untappd.com/beer/8020,https://untappd.com/brewery/50,Japan,Sumida-ku,Tokyo,,,,755507863,8020,50,https://untappd.s3.amazonaws.com/photos/2019_05_27/4a43cc68810c02a054aae08e2da0e82d_raw.jpg,3.09,3.09,,1,0
